fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,acidity_ratio,sugar_acid_ratio,density_alcohol_interaction,sulfur_dioxide_ratio,chloride_acid_product,log_acidity,log_sulphates,random_variation,ph_sulphates,alcohol_squared,density_squared,acid_sulphate_ratio,clarity_score,clarity_grade,wine_clarity,region_id,wine_style_id,flavor_intensity,tannin_level,oak_aging_months,carbonation,country,state,smell,price,color,brand,vintage,grape_variety,wine_type,alcohol_content,region,wine_style,food_pairing,bottle_size_ml
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,7.946428571,0.181818182,11.846688,0.454545455,0.6675,2.292534757,0.565313809,-0.012061803,2.5916,141.61,0.99106007,0.068181818,2.088442773,-0.514782675,0.202280408,-0.822165607,-0.147192751,-0.267317023,1.602844247,-0.73185921,-0.691334861,Japan,Barossa Valley,Fruity,146.87,Red,Château Margaux,2020,Syrah,Dessert,13,Mendoza,Crisp,Cheese,1500
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5,7.751937984,0.263636364,9.70582,0.37037037,0.98,2.397895273,0.647103242,-0.01104848,3.1668,94.09,1.00120036,0.151832461,0.265362349,0.31237821,0.272421397,1.846395921,-0.750410128,-1.439608131,0.522445211,0.378226285,-0.166839668,New Zealand,California,Woody,34.42,White,Robert Mondavi,1996,Merlot,White,13.8,Barossa Valley,Medium-bodied,Dessert,750
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,5.524475524,0.179775281,9.4677,0.263157895,0.8374,2.186051277,0.647103242,0.00337641,2.8847,90.25,0.99321156,0.22513089,-1.438277978,-1.05014074,-0.279507463,0.491445511,-0.740232253,1.015392329,1.111953361,0.554142927,-0.515393798,France,Tuscany,Floral,37.52,Rosé,Moët & Chandon,1993,Cabernet Sauvignon,Red,12.5,Barossa Valley,Full-bodied,Seafood,375
9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,5.548780488,0.306930693,9.69806,0.333333333,0.8645,2.312535424,0.463734016,-0.01874104,1.9352,94.09,0.99960004,0.402515723,0.783390509,0.53629091,-2.384306789,-0.651888583,-1.68727908,-0.062088698,0.083345351,0.201033504,-1.796276567,Hungary,California,Earthy,116.65,White,Penfolds,2001,Chardonnay,Sparkling,14.2,Bordeaux,Full-bodied,Steak,1500
9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7,6.470588235,0.220183486,11.56636,0.566037736,0.9207,2.388762789,0.565313809,0.027180008,2.4244,134.56,0.99420841,0.301136364,0.890247501,-0.836062152,-1.798214739,-1.055989812,-0.335166973,-0.387580891,-1.297164296,-0.911280057,1.094934056,New Zealand,California,Floral,116.4,Red,Moët & Chandon,2020,Chardonnay,Sparkling,14.2,Napa Valley,Crisp,Cheese,1500
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,5.106382979,0.256097561,9.3718,0.479452055,0.5976,2.104134154,0.418710335,-0.022615316,1.7888,88.36,0.994009,0.269736842,-1.111967026,-0.175378456,-0.83609167,-0.393437896,1.479481762,-1.848110112,0.080319573,-0.922976898,-0.939609517,France,California,Spicy,30.71,Rosé,Penfolds,2006,Cabernet Sauvignon,Red,12.5,Bordeaux,Full-bodied,Pasta,1500
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,7.906976744,0.214285714,11.74867,0.333333333,0.765,2.415913778,0.488580015,-0.086985689,2.0286,139.24,0.991318923,0.17791411,0.597228218,-0.286794236,1.243405797,-1.347995784,-1.482231424,-0.886639169,0.816081044,0.256685231,0.849820365,Japan,Tuscany,Earthy,71.3,White,Moët & Chandon,1993,Merlot,White,13.8,Barossa Valley,Crisp,Dessert,500
8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5,5.734265734,0.173913043,10.259109,0.586956522,0.6642,2.219203484,0.431782416,0.034911166,1.755,106.09,0.992075761,0.279220779,-1.189666659,-0.985539601,-0.238233675,-0.63014283,0.801181764,0.288150042,0.173923512,-0.4020493,-0.64852163,Canada,California,Spicy,47.14,Red,Robert Mondavi,1994,Chardonnay,Sparkling,14.2,Bordeaux,Rich,Steak,375
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,5.033112583,0.325581395,10.1541,0.445945946,0.836,2.151762203,0.488580015,0.051549976,1.9971,104.04,0.99102025,0.312883436,-0.353166293,0.638660169,2.549009709,-0.272844546,0.083872502,0.314971872,-0.096384636,1.814252828,-0.944752852,Japan,Tuscany,Spicy,85.86,Red,Screaming Eagle,2016,Merlot,White,13.8,Tuscany,Medium-bodied,Cheese,375
9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,7.520661157,0.158415842,11.050272,0.545454545,0.6097,2.312535424,0.457424847,-0.036546502,1.8734,123.21,0.99106007,0.132911392,-0.785986033,-0.704728436,2.497415126,-0.834271343,0.044552166,1.158471996,0.346724016,-0.515434865,0.307309354,Mexico,Barossa Valley,Floral,55.28,White,Screaming Eagle,2011,Merlot,White,13.8,Barossa Valley,Crisp,Seafood,1000
9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,7.92,0.155963303,10.55654,0.604651163,0.6138,2.388762789,0.604315967,0.00832261,2.6394,112.36,0.99181681,0.136612022,0.689707805,-1.615886787,-0.559546285,0.688205306,0.5921139,1.616521655,-2.336069605,-0.537164262,0.194021005,Portugal,Barossa Valley,Floral,111.69,Red,Moët & Chandon,2010,Cabernet Sauvignon,Red,12.5,Tuscany,Crisp,Steak,1000
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,5.113268608,0.449438202,10.66255,0.435483871,0.6873,2.186051277,0.512823626,0.072063664,2.2512,114.49,0.99301225,0.326347305,-0.410814288,-0.454547719,1.607578306,-1.253506012,-0.195434847,0.115596739,-1.509993171,0.46446747,1.209531401,Japan,Rioja,Spicy,24.78,Rosé,Robert Mondavi,2009,Syrah,Dessert,13,Barossa Valley,Medium-bodied,Cheese,750
6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,6,4.037267081,0.293333333,11.447215,0.8,0.6175,2.014903021,0.530628251,-0.014033754,2.527,132.25,0.990841068,0.358823529,-0.491153747,0.135338348,0.685857819,0.029796165,-1.098679373,2.006408638,0.740421214,0.736227445,-0.849023432,Spain,Bordeaux,Woody,148.12,White,Penfolds,2003,Merlot,White,13.8,Bordeaux,Light-bodied,Cheese,375
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,7.946428571,0.181818182,11.846688,0.454545455,0.6675,2.292534757,0.565313809,-0.002279301,2.5916,141.61,0.99106007,0.068181818,-0.564774004,0.388375729,0.366746408,-0.451302864,0.347397486,0.069085193,-1.108764895,-0.07229266,-0.219687045,Italy,Barossa Valley,Earthy,50.29,White,Screaming Eagle,2000,Merlot,White,13.8,Tuscany,Full-bodied,Pasta,375
7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6,4.935897436,0.287356322,9.57216,0.29787234,0.8778,2.163323026,0.506817602,-0.023113764,2.1384,92.16,0.99420841,0.337349398,-0.546680085,-0.031203489,-0.188202439,-1.479196018,1.256197439,1.498546361,-0.072822433,-0.489466995,-0.108333883,Chile,Rioja,Fruity,149.44,White,Robert Mondavi,1995,Cabernet Sauvignon,Red,12.5,Tuscany,Crisp,Pasta,750
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6,4.397590361,0.240963855,9.88317,0.25,0.6132,2.116255515,0.672944473,-0.016725062,3.4656,98.01,0.99660289,0.336734694,0.159856392,1.588626928,-0.170385765,1.796665202,0.212824399,-1.222364615,0.371206763,-0.629374211,0.627702395,Chile,Tuscany,Fruity,113.87,Rosé,Château Margaux,2019,Syrah,Dessert,13,Barossa Valley,Full-bodied,Pasta,750
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,4.966887417,0.2,10.45149,0.40625,0.63,2.140066163,0.431782416,0.059532314,1.8144,110.25,0.990781344,0.331168831,0.640479795,1.945195074,-0.484258352,0.615163984,0.032773638,-0.398327013,0.703218255,0.563816559,1.573136022,South Africa,Rioja,Earthy,88.98,White,Château Margaux,2002,Syrah,Dessert,13,Napa Valley,Medium-bodied,Dessert,1500
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,6.289308176,0.2,10.19388,0.412698413,0.9,2.397895273,0.488580015,-0.002511905,2.0034,104.04,0.99880036,0.36196319,-0.544114002,0.039447048,-0.758970699,-0.357990434,1.048203968,-0.546264009,0.513609294,0.82585267,-0.501646679,Portugal,Tuscany,Spicy,71.1,Rosé,Château Margaux,2018,Cabernet Sauvignon,Red,12.5,Napa Valley,Full-bodied,Dessert,750
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,6.241134752,0.224489796,10.4853,0.209302326,0.8184,2.282382386,0.506817602,0.041095125,2.3364,110.25,0.99720196,0.246987952,1.615375689,0.721135363,-1.2445425,-0.314690829,0.947511909,0.268775789,1.094562455,0.154648543,1.775037021,Canada,Tuscany,Floral,83.1,Rosé,Screaming Eagle,2019,Pinot Noir,Rosé,11.5,Bordeaux,Rich,Cheese,500
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5,5.597484277,0.232323232,10.28558,0.217391304,0.8455,2.292534757,0.457424847,-0.005351518,1.9546,106.09,0.99720196,0.373417722,-0.81925786,0.149363482,-1.482984432,0.032143147,0.453905229,-1.771896682,0.985948383,1.293753156,0.330149949,Mexico,Barossa Valley,Woody,114.83,White,Screaming Eagle,2001,Cabernet Sauvignon,Red,12.5,Mendoza,Full-bodied,Seafood,750
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,4.358974359,0.230769231,11.137056,0.6,0.5032,2.054123734,0.598836501,0.031646591,2.788,125.44,0.988791584,0.307692308,0.49968511,0.448635765,1.010274587,1.819771787,-0.150468141,1.186415591,1.082537009,1.753375199,0.357470186,Austria,California,Earthy,31.81,Rosé,Moët & Chandon,2016,Merlot,White,13.8,Bordeaux,Rich,Seafood,1000
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7,6.076923077,0.93258427,12.215868,0.129310345,0.395,2.186051277,0.412109651,-0.017462885,1.5351,151.29,0.986366786,0.198675497,0.679142775,0.363970631,-0.817408134,0.195403221,-0.335785939,-0.51029116,0.193798714,-0.207356769,1.083392144,Hungary,Rioja,Woody,91.03,White,Robert Mondavi,2015,Syrah,Dessert,13,Napa Valley,Medium-bodied,Seafood,1500
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,5.069637883,0.257425743,9.39436,0.407407407,0.8736,2.312535424,0.604315967,0.073767811,2.7805,88.36,0.99880036,0.43442623,-1.773032468,-0.035825579,0.746611365,0.51821895,-0.376422555,-1.782115082,0.186093021,0.015033926,0.482929945,Greece,Tuscany,Woody,66.64,White,Moët & Chandon,2011,Merlot,White,13.8,Napa Valley,Rich,Cheese,750
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7,7.372262774,0.216216216,10.566398,0.277777778,0.8585,2.406945108,0.500775288,0.078699338,2.0605,112.36,0.993670049,0.224242424,1.699957375,0.504483256,-1.103184381,-1.422876908,-0.012024029,1.810522478,0.966917401,-0.306688216,0.420972783,Brazil,Barossa Valley,Fruity,18.13,White,Screaming Eagle,2009,Merlot,White,13.8,Mendoza,Full-bodied,Steak,375
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,3.928571429,0.229885057,10.85095,0.245901639,0.3619,2.163323026,0.364643114,0.032268797,1.4784,118.81,0.99102025,0.666666667,-1.308820399,-1.978225249,0.013450365,1.992036636,-0.51006395,-0.714807259,0.903058167,0.443892839,0.960740012,Portugal,Rioja,Woody,147.77,Red,Château Margaux,2001,Syrah,Dessert,13,Napa Valley,Crisp,Steak,375
7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6,4.43148688,0.244186047,11.346762,0.833333333,0.5168,2.151762203,0.500775288,-0.026543439,2.262,129.96,0.990681809,0.433333333,-0.605860821,-0.305619111,0.359738975,-0.067230307,-0.275895721,-1.173630393,-1.044666531,-0.031341153,0.104133388,New Zealand,Tuscany,Floral,87.61,Rosé,Château Margaux,2015,Syrah,Dessert,13,Tuscany,Light-bodied,Seafood,1000
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,4.630872483,0.291139241,10.15818,0.387096774,0.5106,2.066862759,0.457424847,0.026097078,1.9836,104.04,0.99181681,0.310126582,0.50109417,-0.28438465,1.04006182,0.082441767,-0.465075946,-1.460302435,-0.515469273,0.093458492,-1.263871561,Germany,California,Spicy,51.27,Rosé,Château Margaux,2008,Pinot Noir,Rosé,11.5,Bordeaux,Medium-bodied,Seafood,1500
11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,7.808219178,0.217741935,10.20612,0.222222222,1.3908,2.517696473,0.530628251,0.024050462,2.191,104.04,1.00120036,0.270588235,-0.066132615,-0.38281719,0.644595432,-0.309066237,-0.166814741,0.669438372,-1.251227915,-0.746563352,-0.485129942,Germany,Tuscany,Floral,63.39,Red,Moët & Chandon,2006,Pinot Noir,Rosé,11.5,Napa Valley,Full-bodied,Cheese,750
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6,7.109375,0.178217822,10.56502,0.553191489,0.6097,2.312535424,0.712949808,0.07255718,3.4528,112.36,0.99341089,0.137254902,-2.940388635,-0.297482201,-1.128062555,1.650572963,0.38292171,-0.486631188,-0.004142585,-0.904400502,-0.487544556,Japan,Barossa Valley,Fruity,124.73,Red,Screaming Eagle,1997,Pinot Noir,Rosé,11.5,Napa Valley,Full-bodied,Steak,500
8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5,6.25,0.2,11.144112,0.405797101,0.648,2.197224577,0.506817602,-0.037787258,2.2176,125.44,0.9900449,0.168674699,-0.569832928,-1.352508689,-0.587856305,0.850719394,0.129998226,-0.687784295,0.919261092,-0.628097835,-0.287584148,USA,California,Spicy,75.93,White,Screaming Eagle,2011,Syrah,Dessert,13,Napa Valley,Crisp,Seafood,375
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,4.904458599,0.172413793,9.746884,0.4,0.5313,2.163323026,0.431782416,0.006261225,1.7064,96.04,0.989189376,0.37012987,0.301107339,1.080056059,-1.217403793,-1.572989257,-1.529748955,0.853015188,-0.77537903,0.595323288,-0.222565071,Austria,Bordeaux,Woody,80.79,Red,Château Margaux,1995,Pinot Noir,Rosé,11.5,Barossa Valley,Medium-bodied,Steak,1000
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5,6.153846154,0.320754717,10.09596,0.397849462,0.9792,2.360854001,0.500775288,0.034097649,2.145,102.01,0.99920016,0.339393939,-0.5426738,0.434770065,-1.404239566,1.434309669,2.698328836,0.21833875,1.061509157,-0.546838455,1.359718213,Japan,Barossa Valley,Floral,104.82,Red,Château Margaux,2008,Chardonnay,Sparkling,14.2,Bordeaux,Light-bodied,Pasta,1000
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6,4.201183432,0.259259259,10.160016,0.79245283,0.4473,2.091864062,0.470003629,-0.055980872,2.052,104.04,0.992175366,0.43125,0.072680524,-0.48847608,-0.516846883,0.600733015,-0.922351329,0.314267422,-0.961471814,-0.473183106,0.132684619,Spain,Bordeaux,Earthy,26.77,Rosé,Screaming Eagle,1991,Merlot,White,13.8,Mendoza,Medium-bodied,Seafood,1500
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6,4.146341463,0.294871795,10.35268,0.4375,0.51,2.054123734,0.457424847,-0.010451163,1.9488,108.16,0.990920703,0.405063291,-0.332860404,1.481960768,-0.331352299,-2.850030109,0.052372769,-0.839608372,1.614783254,1.865727356,-1.003787815,Argentina,Rioja,Woody,80.58,Rosé,Moët & Chandon,2008,Cabernet Sauvignon,Red,12.5,Barossa Valley,Medium-bodied,Dessert,500
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5,6.013513514,0.287878788,9.18344,0.327102804,0.8366,2.292534757,0.425267735,-0.08550842,1.643,84.64,0.99640324,0.31372549,0.439501231,-0.059415181,-1.239562286,-0.365152613,0.6443105,0.91540297,-1.103758563,0.338473105,-0.320169508,Mexico,Tuscany,Floral,119.8,Red,Château Margaux,1996,Syrah,Dessert,13,Tuscany,Light-bodied,Dessert,1500
9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6,7.067669173,0.269230769,11.9712,0.290322581,0.7426,2.341805806,0.431782416,-0.055326295,1.6848,144,0.99520576,0.214285714,-1.45117569,0.493654848,-0.441848927,-1.153084332,0.246906063,0.631418606,1.032974235,1.344433908,0.193809008,Italy,Tuscany,Woody,87.35,Red,Screaming Eagle,2014,Pinot Noir,Rosé,11.5,Barossa Valley,Full-bodied,Steak,1500
8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6,4.519774011,0.233333333,9.766288,0.213333333,0.632,2.197224577,0.405465108,-0.022164113,1.635,96.04,0.993131834,0.513333333,-0.570351366,0.852468643,-0.61175964,1.467850445,0.139319631,-0.748090983,-0.233077192,1.058136113,0.893347263,Brazil,Tuscany,Woody,8.77,Rosé,Robert Mondavi,1994,Merlot,White,13.8,Bordeaux,Light-bodied,Dessert,375
6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6,3.367346939,0.236842105,11.82384,0.294117647,0.5412,2.028148247,0.364643114,0.066409707,1.54,141.61,0.98724096,0.666666667,-0.471124652,0.686353555,0.129187473,0.427962627,1.805416846,1.084477525,-0.346863988,-1.328351792,0.444874917,Japan,California,Spicy,127.42,White,Moët & Chandon,2001,Cabernet Sauvignon,Red,12.5,Bordeaux,Rich,Steak,1500
